I_normalized,V_normalized_flux_8Phi0,V_normalized_flux_8p1Phi0,V_normalized_flux_8p2Phi0,V_normalized_flux_8p3Phi0,V_normalized_flux_8p4Phi0,V_normalized_flux_8p5Phi0,V_normalized_flux_8p6Phi0,V_normalized_flux_8p7Phi0,V_normalized_flux_8p8Phi0,V_normalized_flux_8p9Phi0,V_normalized_flux_9Phi0,V_normalized_flux_9p1Phi0,V_normalized_flux_9p2Phi0,V_normalized_flux_9p3Phi0,V_normalized_flux_9p4Phi0,V_normalized_flux_9p5Phi0,V_normalized_flux_9p6Phi0,V_normalized_flux_9p7Phi0,V_normalized_flux_9p8Phi0,V_normalized_flux_9p9Phi0,V_normalized_flux_10Phi0
2.399999999999999911e-01,-7.563159164596005169e-13,4.632700313781995760e+00,4.798409002857260575e+00,4.799392877366708277e+00,4.799494084561453100e+00,4.799558307904758792e+00,4.799486878349634722e+00,4.799416204912433592e+00,4.798396236647482382e+00,4.633854111915478136e+00,4.698999006023228821e-13,4.632041442043046686e+00,4.798444404378932049e+00,4.799310012608899001e+00,4.799631803882060233e+00,4.799663013928893385e+00,4.799639514169243171e+00,4.799287168561964911e+00,4.798461658557908294e+00,4.633207583899808135e+00,-7.454768119236621585e-13
2.500000000000000000e-01,4.847663912953011442e-13,4.654771870069351003e+00,4.999265957748584732e+00,4.999684633521412458e+00,4.999848979949534922e+00,4.999877731558730609e+00,4.999831670578654297e+00,4.999690652789938738e+00,4.999289920770481288e+00,4.653594650555155532e+00,2.212393963785447196e-13,4.653670891179748637e+00,4.999252160418391711e+00,4.999754595776155774e+00,4.999785063995586754e+00,4.999799981917794511e+00,4.999802607061506698e+00,4.999748482222959645e+00,4.999228231821218671e+00,4.652701027568351577e+00,5.481404556289353737e-13
2.600000000000000089e-01,-2.053567551516035213e-13,5.141113073270330958e+00,5.196746230111022768e+00,5.198614292295695272e+00,5.199051422464977534e+00,5.199178974434246037e+00,5.199060374342021618e+00,5.198577087930351226e+00,5.196733994164601356e+00,5.141517409194480415e+00,2.063815666883708638e-14,5.140761432650437612e+00,5.196876150874603084e+00,5.198653580805456365e+00,5.199100799684320151e+00,5.199181603340265134e+00,5.199090845172420039e+00,5.198692205886414897e+00,5.196890562970851057e+00,5.141177744473160338e+00,-1.755939450714335662e-13
2.700000000000000178e-01,4.396379363614581628e-14,5.214169202235690470e+00,5.398342658441740660e+00,5.399320145482040978e+00,5.399614565431408053e+00,5.399666896786482262e+00,5.399610336120147736e+00,5.399291335482151233e+00,5.398358848363042028e+00,5.213958184225739423e+00,-1.509476590957572647e-13,5.214187906862313149e+00,5.398181375567999929e+00,5.399334461568017218e+00,5.399492674559970951e+00,5.399541910513305787e+00,5.399497619120842806e+00,5.399363078839686025e+00,5.398160028641022734e+00,5.213996159662348973e+00,-1.517078937092631662e-14
2.800000000000000266e-01,-4.039924068121457559e-14,5.237309938928553343e+00,5.599231074424678489e+00,5.599689500952244714e+00,5.599768955798238856e+00,5.599787382474511688e+00,5.599766748282341666e+00,5.599739903243662553e+00,5.599206754579116208e+00,5.237087677713392786e+00,-2.294175555747827742e-13,5.236977663430572250e+00,5.599189227325003237e+00,5.599761821396366912e+00,5.599882157184090659e+00,5.599907701081292544e+00,5.599884242593798689e+00,5.599711305794158989e+00,5.599215700694193387e+00,5.236797760803977297e+00,-5.307360399977479056e-15
2.899999999999999800e-01,3.672593941237280117e-14,5.248897852486152260e+00,5.796914069924299362e+00,5.798752555334840686e+00,5.799191417283681815e+00,5.799289169169589364e+00,5.799189401779474728e+00,5.798735497612202749e+00,5.796889607765968400e+00,5.250448321653388817e+00,4.119393115832925015e-13,5.247479320063315633e+00,5.796971984321160676e+00,5.798774106004995765e+00,5.799204245927134238e+00,5.799299140639390338e+00,5.799207991384538907e+00,5.798788181276951725e+00,5.796991052737405781e+00,5.249170035413526669e+00,-2.761702091556105116e-14
2.999999999999999889e-01,-7.239457333406094539e-14,5.482206794660113403e+00,5.998062431804457084e+00,5.999162204441862656e+00,5.999653215131056427e+00,5.999727492978983889e+00,5.999671790301644769e+00,5.999197148292518378e+00,5.998094146537416016e+00,5.482193927137831047e+00,-2.094848139908942845e-13,5.481581231355987072e+00,5.998183877438800771e+00,5.998973654329120109e+00,5.999453054161169696e+00,5.999505975452986917e+00,5.999434993803679284e+00,5.998952652426379650e+00,5.998143658114996057e+00,5.481787552002855612e+00,-3.229959891564423972e-14
3.099999999999999978e-01,1.478061470465327430e-13,5.491381846148392754e+00,6.199125392146965119e+00,6.199716614098275791e+00,6.199821179462868592e+00,6.199844694994804506e+00,6.199824047581954822e+00,6.199718531777869579e+00,6.199123795188384634e+00,5.491563930455727771e+00,-1.396414724014321662e-13,5.491714295137470003e+00,6.199122964981122585e+00,6.199731908208214293e+00,6.199839298924849196e+00,6.199859964446632787e+00,6.199836107880675407e+00,6.199729803407487694e+00,6.199124680157408918e+00,5.491000378403826154e+00,1.785262744033457920e-13
3.200000000000000067e-01,-2.195993592886842302e-13,5.516233196551191043e+00,6.396722083683659577e+00,6.398790967217330206e+00,6.399210411841518287e+00,6.399295955241359302e+00,6.399190794345478217e+00,6.398732824993611068e+00,6.396698923202951192e+00,5.516484432332999788e+00,2.692745230386820254e-13,5.517668350248646547e+00,6.396568947690982831e+00,6.398788953008149427e+00,6.399207586806618941e+00,6.399315400399332887e+00,6.399227524590209271e+00,6.398846856422792939e+00,6.396586140433495160e+00,5.516049649210948758e+00,-2.341325807709639843e-13
3.300000000000000155e-01,1.775913865475356759e-13,5.525651041157822796e+00,6.598061308852378737e+00,6.599356583776949670e+00,6.599555627312842176e+00,6.599607816305244512e+00,6.599556105904833991e+00,6.599333887518981534e+00,6.598057207836022009e+00,5.525980496845152246e+00,-2.441041084162770100e-13,5.525479238943888483e+00,6.598014495315193351e+00,6.599371127826116457e+00,6.599647717969046035e+00,6.599693306546871696e+00,6.599646954585609571e+00,6.599393780490792949e+00,6.598018670809887354e+00,5.526343765483467507e+00,2.491376581061668360e-13
